date,location,value,category,demographic,target
2020-04-18,06,2605,race/ethnicity,Asian,inc case
2020-04-25,06,833,race/ethnicity,Asian,inc case
2020-05-02,06,806,race/ethnicity,Asian,inc case
2020-05-09,06,691,race/ethnicity,Asian,inc case
2020-05-16,06,869,race/ethnicity,Asian,inc case
2020-05-23,06,714,race/ethnicity,Asian,inc case
2020-05-30,06,691,race/ethnicity,Asian,inc case
2020-06-06,06,612,race/ethnicity,Asian,inc case
2020-06-13,06,529,race/ethnicity,Asian,inc case
2020-06-20,06,591,race/ethnicity,Asian,inc case
2020-06-27,06,783,race/ethnicity,Asian,inc case
2020-07-04,06,1289,race/ethnicity,Asian,inc case
2020-07-11,06,1460,race/ethnicity,Asian,inc case
2020-07-18,06,1714,race/ethnicity,Asian,inc case
2020-07-25,06,1903,race/ethnicity,Asian,inc case
2020-08-01,06,1686,race/ethnicity,Asian,inc case
2020-08-08,06,1883,race/ethnicity,Asian,inc case
2020-08-15,06,2166,race/ethnicity,Asian,inc case
2020-08-22,06,1759,race/ethnicity,Asian,inc case
2020-08-29,06,1716,race/ethnicity,Asian,inc case
2020-09-05,06,1587,race/ethnicity,Asian,inc case
2020-09-12,06,1443,race/ethnicity,Asian,inc case
2020-09-19,06,1317,race/ethnicity,Asian,inc case
2020-09-26,06,1194,race/ethnicity,Asian,inc case
2020-10-03,06,1149,race/ethnicity,Asian,inc case
2020-10-10,06,1048,race/ethnicity,Asian,inc case
2020-10-17,06,932,race/ethnicity,Asian,inc case
2020-10-24,06,1364,race/ethnicity,Asian,inc case
2020-10-31,06,1292,race/ethnicity,Asian,inc case
2020-11-07,06,1758,race/ethnicity,Asian,inc case
2020-11-14,06,2489,race/ethnicity,Asian,inc case
2020-04-18,06,1376,race/ethnicity,Black,inc case
2020-04-25,06,463,race/ethnicity,Black,inc case
2020-05-02,06,450,race/ethnicity,Black,inc case
2020-05-09,06,452,race/ethnicity,Black,inc case
2020-05-16,06,480,race/ethnicity,Black,inc case
2020-05-23,06,439,race/ethnicity,Black,inc case
2020-05-30,06,477,race/ethnicity,Black,inc case
2020-06-06,06,438,race/ethnicity,Black,inc case
2020-06-13,06,391,race/ethnicity,Black,inc case
2020-06-20,06,519,race/ethnicity,Black,inc case
2020-06-27,06,824,race/ethnicity,Black,inc case
2020-07-04,06,1123,race/ethnicity,Black,inc case
2020-07-11,06,1589,race/ethnicity,Black,inc case
2020-07-18,06,1657,race/ethnicity,Black,inc case
2020-07-25,06,1825,race/ethnicity,Black,inc case
2020-08-01,06,1521,race/ethnicity,Black,inc case
2020-08-08,06,1478,race/ethnicity,Black,inc case
2020-08-15,06,1859,race/ethnicity,Black,inc case
2020-08-22,06,1290,race/ethnicity,Black,inc case
2020-08-29,06,1223,race/ethnicity,Black,inc case
2020-09-05,06,1228,race/ethnicity,Black,inc case
2020-09-12,06,989,race/ethnicity,Black,inc case
2020-09-19,06,830,race/ethnicity,Black,inc case
2020-09-26,06,927,race/ethnicity,Black,inc case
2020-10-03,06,733,race/ethnicity,Black,inc case
2020-10-10,06,731,race/ethnicity,Black,inc case
2020-10-17,06,616,race/ethnicity,Black,inc case
2020-10-24,06,892,race/ethnicity,Black,inc case
2020-10-31,06,899,race/ethnicity,Black,inc case
2020-11-07,06,1201,race/ethnicity,Black,inc case
2020-11-14,06,1651,race/ethnicity,Black,inc case
2020-04-18,06,8195,race/ethnicity,Latino,inc case
2020-04-25,06,3897,race/ethnicity,Latino,inc case
2020-05-02,06,5035,race/ethnicity,Latino,inc case
2020-05-09,06,5398,race/ethnicity,Latino,inc case
2020-05-16,06,6683,race/ethnicity,Latino,inc case
2020-05-23,06,6552,race/ethnicity,Latino,inc case
2020-05-30,06,7137,race/ethnicity,Latino,inc case
2020-06-06,06,7405,race/ethnicity,Latino,inc case
2020-06-13,06,9400,race/ethnicity,Latino,inc case
2020-06-20,06,9690,race/ethnicity,Latino,inc case
2020-06-27,06,11483,race/ethnicity,Latino,inc case
2020-07-04,06,14505,race/ethnicity,Latino,inc case
2020-07-11,06,17474,race/ethnicity,Latino,inc case
2020-07-18,06,24803,race/ethnicity,Latino,inc case
2020-07-25,06,25334,race/ethnicity,Latino,inc case
2020-08-01,06,26424,race/ethnicity,Latino,inc case
2020-08-08,06,23995,race/ethnicity,Latino,inc case
2020-08-15,06,25521,race/ethnicity,Latino,inc case
2020-08-22,06,21232,race/ethnicity,Latino,inc case
2020-08-29,06,19081,race/ethnicity,Latino,inc case
2020-09-05,06,18594,race/ethnicity,Latino,inc case
2020-09-12,06,15744,race/ethnicity,Latino,inc case
2020-09-19,06,14693,race/ethnicity,Latino,inc case
2020-09-26,06,13325,race/ethnicity,Latino,inc case
2020-10-03,06,10234,race/ethnicity,Latino,inc case
2020-10-10,06,11166,race/ethnicity,Latino,inc case
2020-10-17,06,10742,race/ethnicity,Latino,inc case
2020-10-24,06,14181,race/ethnicity,Latino,inc case
2020-10-31,06,13580,race/ethnicity,Latino,inc case
2020-11-07,06,16717,race/ethnicity,Latino,inc case
2020-11-14,06,20979,race/ethnicity,Latino,inc case
2020-04-18,06,2222,race/ethnicity,Other,inc case
2020-04-25,06,244,race/ethnicity,Other,inc case
2020-05-02,06,476,race/ethnicity,Other,inc case
2020-05-09,06,477,race/ethnicity,Other,inc case
2020-05-16,06,525,race/ethnicity,Other,inc case
2020-05-23,06,1089,race/ethnicity,Other,inc case
2020-05-30,06,3520,race/ethnicity,Other,inc case
2020-06-06,06,2603,race/ethnicity,Other,inc case
2020-06-13,06,2561,race/ethnicity,Other,inc case
2020-06-20,06,3513,race/ethnicity,Other,inc case
2020-06-27,06,4439,race/ethnicity,Other,inc case
2020-07-04,06,6700,race/ethnicity,Other,inc case
2020-07-11,06,6911,race/ethnicity,Other,inc case
2020-07-18,06,6025,race/ethnicity,Other,inc case
2020-07-25,06,6743,race/ethnicity,Other,inc case
2020-08-01,06,2552,race/ethnicity,Other,inc case
2020-08-08,06,2408,race/ethnicity,Other,inc case
2020-08-15,06,5528,race/ethnicity,Other,inc case
2020-08-22,06,2126,race/ethnicity,Other,inc case
2020-08-29,06,2301,race/ethnicity,Other,inc case
2020-09-05,06,1049,race/ethnicity,Other,inc case
2020-09-12,06,656,race/ethnicity,Other,inc case
2020-09-19,06,897,race/ethnicity,Other,inc case
2020-09-26,06,1461,race/ethnicity,Other,inc case
2020-10-03,06,1397,race/ethnicity,Other,inc case
2020-10-10,06,1666,race/ethnicity,Other,inc case
2020-10-17,06,1018,race/ethnicity,Other,inc case
2020-10-24,06,2921,race/ethnicity,Other,inc case
2020-10-31,06,2255,race/ethnicity,Other,inc case
2020-11-07,06,3743,race/ethnicity,Other,inc case
2020-11-14,06,5856,race/ethnicity,Other,inc case
2020-04-18,06,5945,race/ethnicity,White,inc case
2020-04-25,06,1794,race/ethnicity,White,inc case
2020-05-02,06,1710,race/ethnicity,White,inc case
2020-05-09,06,1291,race/ethnicity,White,inc case
2020-05-16,06,1712,race/ethnicity,White,inc case
2020-05-23,06,1766,race/ethnicity,White,inc case
2020-05-30,06,1625,race/ethnicity,White,inc case
2020-06-06,06,1643,race/ethnicity,White,inc case
2020-06-13,06,1559,race/ethnicity,White,inc case
2020-06-20,06,2132,race/ethnicity,White,inc case
2020-06-27,06,3065,race/ethnicity,White,inc case
2020-07-04,06,5356,race/ethnicity,White,inc case
2020-07-11,06,6883,race/ethnicity,White,inc case
2020-07-18,06,7061,race/ethnicity,White,inc case
2020-07-25,06,7425,race/ethnicity,White,inc case
2020-08-01,06,5669,race/ethnicity,White,inc case
2020-08-08,06,5296,race/ethnicity,White,inc case
2020-08-15,06,6883,race/ethnicity,White,inc case
2020-08-22,06,4746,race/ethnicity,White,inc case
2020-08-29,06,5026,race/ethnicity,White,inc case
2020-09-05,06,4672,race/ethnicity,White,inc case
2020-09-12,06,4025,race/ethnicity,White,inc case
2020-09-19,06,3918,race/ethnicity,White,inc case
2020-09-26,06,4297,race/ethnicity,White,inc case
2020-10-03,06,3709,race/ethnicity,White,inc case
2020-10-10,06,3747,race/ethnicity,White,inc case
2020-10-17,06,3449,race/ethnicity,White,inc case
2020-10-24,06,4778,race/ethnicity,White,inc case
2020-10-31,06,5203,race/ethnicity,White,inc case
2020-11-07,06,7091,race/ethnicity,White,inc case
2020-11-14,06,9867,race/ethnicity,White,inc case
2020-04-18,06,162,race/ethnicity,Asian,inc death
2020-04-25,06,104,race/ethnicity,Asian,inc death
2020-05-02,06,79,race/ethnicity,Asian,inc death
2020-05-09,06,72,race/ethnicity,Asian,inc death
2020-05-16,06,51,race/ethnicity,Asian,inc death
2020-05-23,06,60,race/ethnicity,Asian,inc death
2020-05-30,06,63,race/ethnicity,Asian,inc death
2020-06-06,06,70,race/ethnicity,Asian,inc death
2020-06-13,06,61,race/ethnicity,Asian,inc death
2020-06-20,06,52,race/ethnicity,Asian,inc death
2020-06-27,06,57,race/ethnicity,Asian,inc death
2020-07-04,06,49,race/ethnicity,Asian,inc death
2020-07-11,06,53,race/ethnicity,Asian,inc death
2020-07-18,06,60,race/ethnicity,Asian,inc death
2020-07-25,06,63,race/ethnicity,Asian,inc death
2020-08-01,06,76,race/ethnicity,Asian,inc death
2020-08-08,06,94,race/ethnicity,Asian,inc death
2020-08-15,06,79,race/ethnicity,Asian,inc death
2020-08-22,06,89,race/ethnicity,Asian,inc death
2020-08-29,06,92,race/ethnicity,Asian,inc death
2020-09-05,06,86,race/ethnicity,Asian,inc death
2020-09-12,06,82,race/ethnicity,Asian,inc death
2020-09-19,06,63,race/ethnicity,Asian,inc death
2020-09-26,06,77,race/ethnicity,Asian,inc death
2020-10-03,06,75,race/ethnicity,Asian,inc death
2020-10-10,06,38,race/ethnicity,Asian,inc death
2020-10-17,06,56,race/ethnicity,Asian,inc death
2020-10-24,06,54,race/ethnicity,Asian,inc death
2020-10-31,06,43,race/ethnicity,Asian,inc death
2020-11-07,06,35,race/ethnicity,Asian,inc death
2020-11-14,06,24,race/ethnicity,Asian,inc death
2020-04-18,06,120,race/ethnicity,Black,inc death
2020-04-25,06,50,race/ethnicity,Black,inc death
2020-05-02,06,44,race/ethnicity,Black,inc death
2020-05-09,06,50,race/ethnicity,Black,inc death
2020-05-16,06,47,race/ethnicity,Black,inc death
2020-05-23,06,49,race/ethnicity,Black,inc death
2020-05-30,06,37,race/ethnicity,Black,inc death
2020-06-06,06,42,race/ethnicity,Black,inc death
2020-06-13,06,31,race/ethnicity,Black,inc death
2020-06-20,06,31,race/ethnicity,Black,inc death
2020-06-27,06,32,race/ethnicity,Black,inc death
2020-07-04,06,39,race/ethnicity,Black,inc death
2020-07-11,06,41,race/ethnicity,Black,inc death
2020-07-18,06,41,race/ethnicity,Black,inc death
2020-07-25,06,43,race/ethnicity,Black,inc death
2020-08-01,06,59,race/ethnicity,Black,inc death
2020-08-08,06,74,race/ethnicity,Black,inc death
2020-08-15,06,44,race/ethnicity,Black,inc death
2020-08-22,06,61,race/ethnicity,Black,inc death
2020-08-29,06,40,race/ethnicity,Black,inc death
2020-09-05,06,63,race/ethnicity,Black,inc death
2020-09-12,06,54,race/ethnicity,Black,inc death
2020-09-19,06,42,race/ethnicity,Black,inc death
2020-09-26,06,43,race/ethnicity,Black,inc death
2020-10-03,06,36,race/ethnicity,Black,inc death
2020-10-10,06,25,race/ethnicity,Black,inc death
2020-10-17,06,20,race/ethnicity,Black,inc death
2020-10-24,06,20,race/ethnicity,Black,inc death
2020-10-31,06,30,race/ethnicity,Black,inc death
2020-11-07,06,17,race/ethnicity,Black,inc death
2020-11-14,06,16,race/ethnicity,Black,inc death
2020-04-18,06,314,race/ethnicity,Latino,inc death
2020-04-25,06,188,race/ethnicity,Latino,inc death
2020-05-02,06,202,race/ethnicity,Latino,inc death
2020-05-09,06,210,race/ethnicity,Latino,inc death
2020-05-16,06,223,race/ethnicity,Latino,inc death
2020-05-23,06,220,race/ethnicity,Latino,inc death
2020-05-30,06,188,race/ethnicity,Latino,inc death
2020-06-06,06,202,race/ethnicity,Latino,inc death
2020-06-13,06,238,race/ethnicity,Latino,inc death
2020-06-20,06,185,race/ethnicity,Latino,inc death
2020-06-27,06,178,race/ethnicity,Latino,inc death
2020-07-04,06,240,race/ethnicity,Latino,inc death
2020-07-11,06,432,race/ethnicity,Latino,inc death
2020-07-18,06,339,race/ethnicity,Latino,inc death
2020-07-25,06,381,race/ethnicity,Latino,inc death
2020-08-01,06,449,race/ethnicity,Latino,inc death
2020-08-08,06,503,race/ethnicity,Latino,inc death
2020-08-15,06,456,race/ethnicity,Latino,inc death
2020-08-22,06,505,race/ethnicity,Latino,inc death
2020-08-29,06,423,race/ethnicity,Latino,inc death
2020-09-05,06,412,race/ethnicity,Latino,inc death
2020-09-12,06,336,race/ethnicity,Latino,inc death
2020-09-19,06,296,race/ethnicity,Latino,inc death
2020-09-26,06,269,race/ethnicity,Latino,inc death
2020-10-03,06,308,race/ethnicity,Latino,inc death
2020-10-10,06,214,race/ethnicity,Latino,inc death
2020-10-17,06,217,race/ethnicity,Latino,inc death
2020-10-24,06,196,race/ethnicity,Latino,inc death
2020-10-31,06,182,race/ethnicity,Latino,inc death
2020-11-07,06,156,race/ethnicity,Latino,inc death
2020-11-14,06,145,race/ethnicity,Latino,inc death
2020-04-18,06,50,race/ethnicity,Other,inc death
2020-04-25,06,14,race/ethnicity,Other,inc death
2020-05-02,06,0,race/ethnicity,Other,inc death
2020-05-09,06,10,race/ethnicity,Other,inc death
2020-05-16,06,18,race/ethnicity,Other,inc death
2020-05-23,06,0,race/ethnicity,Other,inc death
2020-05-30,06,0,race/ethnicity,Other,inc death
2020-06-06,06,0,race/ethnicity,Other,inc death
2020-06-13,06,0,race/ethnicity,Other,inc death
2020-06-20,06,12,race/ethnicity,Other,inc death
2020-06-27,06,8,race/ethnicity,Other,inc death
2020-07-04,06,19,race/ethnicity,Other,inc death
2020-07-11,06,28,race/ethnicity,Other,inc death
2020-07-18,06,13,race/ethnicity,Other,inc death
2020-07-25,06,31,race/ethnicity,Other,inc death
2020-08-01,06,25,race/ethnicity,Other,inc death
2020-08-08,06,8,race/ethnicity,Other,inc death
2020-08-15,06,31,race/ethnicity,Other,inc death
2020-08-22,06,0,race/ethnicity,Other,inc death
2020-08-29,06,10,race/ethnicity,Other,inc death
2020-09-05,06,27,race/ethnicity,Other,inc death
2020-09-12,06,0,race/ethnicity,Other,inc death
2020-09-19,06,20,race/ethnicity,Other,inc death
2020-09-26,06,12,race/ethnicity,Other,inc death
2020-10-03,06,0,race/ethnicity,Other,inc death
2020-10-10,06,23,race/ethnicity,Other,inc death
2020-10-17,06,0,race/ethnicity,Other,inc death
2020-10-24,06,0,race/ethnicity,Other,inc death
2020-10-31,06,0,race/ethnicity,Other,inc death
2020-11-07,06,17,race/ethnicity,Other,inc death
2020-11-14,06,8,race/ethnicity,Other,inc death
2020-04-18,06,357,race/ethnicity,White,inc death
2020-04-25,06,179,race/ethnicity,White,inc death
2020-05-02,06,185,race/ethnicity,White,inc death
2020-05-09,06,170,race/ethnicity,White,inc death
2020-05-16,06,148,race/ethnicity,White,inc death
2020-05-23,06,189,race/ethnicity,White,inc death
2020-05-30,06,105,race/ethnicity,White,inc death
2020-06-06,06,142,race/ethnicity,White,inc death
2020-06-13,06,157,race/ethnicity,White,inc death
2020-06-20,06,147,race/ethnicity,White,inc death
2020-06-27,06,89,race/ethnicity,White,inc death
2020-07-04,06,103,race/ethnicity,White,inc death
2020-07-11,06,169,race/ethnicity,White,inc death
2020-07-18,06,158,race/ethnicity,White,inc death
2020-07-25,06,176,race/ethnicity,White,inc death
2020-08-01,06,239,race/ethnicity,White,inc death
2020-08-08,06,275,race/ethnicity,White,inc death
2020-08-15,06,238,race/ethnicity,White,inc death
2020-08-22,06,240,race/ethnicity,White,inc death
2020-08-29,06,236,race/ethnicity,White,inc death
2020-09-05,06,252,race/ethnicity,White,inc death
2020-09-12,06,211,race/ethnicity,White,inc death
2020-09-19,06,204,race/ethnicity,White,inc death
2020-09-26,06,198,race/ethnicity,White,inc death
2020-10-03,06,171,race/ethnicity,White,inc death
2020-10-10,06,162,race/ethnicity,White,inc death
2020-10-17,06,132,race/ethnicity,White,inc death
2020-10-24,06,123,race/ethnicity,White,inc death
2020-10-31,06,114,race/ethnicity,White,inc death
2020-11-07,06,126,race/ethnicity,White,inc death
2020-11-14,06,95,race/ethnicity,White,inc death
2020-03-07,37,0,race/ethnicity,White,inc death
2020-03-14,37,35,race/ethnicity,White,inc death
2020-03-21,37,423,race/ethnicity,White,inc death
2020-03-28,37,567,race/ethnicity,White,inc death
2020-04-04,37,517,race/ethnicity,White,inc death
2020-04-11,37,897,race/ethnicity,White,inc death
2020-04-18,37,751,race/ethnicity,White,inc death
2020-04-25,37,1146,race/ethnicity,White,inc death
2020-05-02,37,1109,race/ethnicity,White,inc death
2020-05-09,37,1471,race/ethnicity,White,inc death
2020-05-16,37,1845,race/ethnicity,White,inc death
2020-05-23,37,2187,race/ethnicity,White,inc death
2020-05-30,37,2343,race/ethnicity,White,inc death
